ID,Category,Requirement,Description,Acceptance Criteria,Priority,Phase,Dependencies,Status,Verified By,Verified Date
REQ-011,Evaluation - Metric,LLM-as-Judge: Content Accuracy (Reviewer Model),"An LLM judge evaluates factual correctness. Runs on a stronger model (e.g., reviewer alias) with temperature 0.","1. Judge uses ""reviewer"" alias with temperature: 0.
2. Uses constrained JSON decoding.
3. Outputs {""score"": int, ""reasoning"": str}.
4. Score recorded as judge_content_accuracy.",P0 - Must Have,Phase 1,REQ-001,Not Started,,
REQ-012,Evaluation - Metric,LLM-as-Judge: Form and Language (Reviewer Model),"An LLM judge evaluates clarity, structure, grammar, and appropriateness of language in the generated answer. Scores 1-5.","1. Judge uses ""reviewer"" alias with temperature: 0.
2. Constrained JSON decoding.
3. Outputs {""score"": int, ""reasoning"": str}.
4. Score recorded as judge_form_language.",P0 - Must Have,Phase 1,REQ-001,Not Started,,
REQ-013,Evaluation - Metric,LLM-as-Judge: Completeness (Reviewer Model),An LLM judge evaluates whether the generated answer addresses all parts of the question without significant omissions. Scores 1-5.,"1. Judge uses ""reviewer"" alias with temperature: 0.
2. Constrained JSON decoding.
3. Outputs {""score"": int, ""reasoning"": str}.
4. Score recorded as judge_completeness.",P0 - Must Have,Phase 1,REQ-001,Not Started,,
REQ-014,Infrastructure - Database,PostgreSQL for application data,"A PostgreSQL instance (Docker container) stores all application-level data: users, projects, conversations, messages, agent runs, tool calls, artifacts, model selections.","1. Postgres accessible at localhost:5432.
2. Schema managed via Alembic.
3. Tables include users, sessions, conversations, messages, agent_runs, agent_events (with seq column), tool_calls, artifacts.
4. Timestamps included.",P0 - Must Have,Phase 2,None,Not Started,,
REQ-015,Infrastructure - Database,pgvector for optional semantic memory,"PostgreSQL has pgvector extension enabled for storing and querying embeddings, used by agent memory and RAG.","1. pgvector extension is installed in the Postgres container.
2. An embeddings table exists with: id, content, embedding (vector(384) or configurable), metadata (jsonb), created_at.
3. Nearest-neighbor search (cosine similarity) returns results in <100ms for 100k rows.
4. Embedding generation uses the same local model as REQ-009.",P2 - Nice to Have,Phase 3,REQ-014,Complete,Antigravity Agent,2026-09-20
REQ-016,Agent Core,OpenHands SDK as agent harness,"The agent uses OpenHands SDK for its core loop: event-driven step execution, action/observation model, tool dispatching, and workspace management.","1. openhands-sdk pinned to exact version across all 4 packages.
2. Agent uses Agent+Conversation+Workspace primitives.
3. Can execute file read/write, shell, web fetch.
4. Emits structured events.
5. Events sent to event bus.",P0 - Must Have,Phase 2,REQ-001,Complete,Antigravity Agent,2026-09-20
REQ-017,Agent Core,AgentRuntime abstraction layer,A thin Python interface (AgentRuntime) wraps OpenHands SDK so the rest of the application never imports OpenHands directly.,"1. AgentRuntime protocol defines: create_session, run, steer, cancel, approve_tool_call, close_session (all async).
2. OpenHandsRuntime implements AgentRuntime.
3. FakeRuntime implements AgentRuntime for unit tests.
4. Application services depend only on AgentRuntime, never on openhands.*.
5. Swapping the runtime requires only a DI configuration change.",P0 - Must Have,Phase 2,REQ-016,Complete,Antigravity Agent,2026-09-20
REQ-018,Agent Core,Planning before execution,The agent begins each task by generating an explicit plan (list of steps) before executing any tools. The plan is visible to the user and stored in the trace.,"1. On receiving a user query, the agent first emits a ""plan"" event containing a structured list of intended steps.
2. Plan is stored in the conversation history and Langfuse trace.
3. Plan is streamed to the user before execution begins.
4. Agent references the plan during execution and can revise it mid-task.
5. If the model cannot produce a valid plan, the agent degrades gracefully to direct execution.",P0 - Must Have,Phase 2,REQ-016; REQ-017,Not Started,,
REQ-019,Agent Core,Iterative tool/sub-agent orchestration,"At each turn of the agent loop, the agent decides whether to call a tool, delegate to a sub-agent, or conclude. A shared state object is updated at each step.","1. Agent loop supports: tool-call, sub-agent-delegation, direct-answer, and conclude actions.
2. A shared state dict is maintained across loop iterations (accessible to the agent's context).
3. Each iteration updates state with new observations.
4. Agent evaluates at each turn whether it has sufficient information to answer.
5. Loop has a configurable max-iterations safety limit (default: 15).",P0 - Must Have,Phase 2,REQ-016; REQ-017; REQ-018,Not Started,,
REQ-020,Agent Core,Context compression,Long-running sessions use context compression (rolling summaries or recursive summarization) to stay within the model's context window.,"1. When accumulated context exceeds a configurable threshold (e.g. 80% of model context window), compression is triggered.
2. Compression produces a condensed summary of prior turns while preserving: system prompt, tool definitions, current plan, and recent N turns.
3. Compressed context is logged to Langfuse (pre/post token counts).
4. Agent behavior remains coherent after compression (verified by evaluation suite).
5. Compression strategy is configurable (rolling-summary, truncate-oldest, recursive).",P1 - Should Have,Phase 2,REQ-016; REQ-017,Not Started,,
REQ-021,Agent Core,Streaming events to frontend,All agent events are streamed in real-time via Redis Streams to reduce perceived latency and prevent event loss.,"1. FastAPI exposes SSE endpoint.
2. Uses Redis Streams for pub/sub.
3. Events have seq and Last-Event-ID.
4. Stream is resumable without loss.",P0 - Must Have,Phase 2,REQ-016; REQ-033,Complete,Antigravity Agent,2026-09-20
REQ-022,Agent Core,Artifact generation and delivery,"The agent can produce structured artifacts (files, documents, code) and deliver them to the user via the API and frontend.","1. Agent can create artifacts: code files, markdown docs, PDF, DOCX, LaTeX-compiled documents.
2. Artifacts are stored in Postgres (metadata) + filesystem or object storage (content).
3. Each artifact has: id, name, mime_type, content_bytes, conversation_id, created_at.
4. Artifacts are downloadable via GET /api/v1/artifacts/{id}.
5. Frontend displays artifact previews inline and offers download.",P1 - Should Have,Phase 2,REQ-014; REQ-016; REQ-017,Not Started,,
REQ-023,Tools - Core,File read and search,"Agent can read files from the workspace, search file contents (grep-like), and list directory structures.","1. Tools: read_file, search_files, list_directory.
2. All operations are sandboxed to the agent's workspace root.
3. search_files supports regex and glob patterns.
4. File contents are returned with line numbers for reference.
5. Operations on files >1MB are paginated or truncated.",P0 - Must Have,Phase 2,REQ-016,Not Started,,
REQ-024,Tools - Core,File write and edit,Agent can create new files and make targeted edits to existing files in the workspace.,"1. Tools: write_file, edit_file (targeted string replacement).
2. Edits are atomic: partial failures do not corrupt files.
3. All writes are logged as tool-call events.
4. write_file creates parent directories if needed.
5. File writes respect workspace boundary (no escape to host filesystem).",P0 - Must Have,Phase 2,REQ-016,Not Started,,
REQ-025,Tools - Core,Shell command execution,Agent can execute shell commands in a controlled sandbox with configurable timeouts and output capture.,"1. Tool: execute_shell with command, timeout, working_directory params.
2. Stdout and stderr are captured and returned.
3. Commands exceeding timeout are killed and an error observation is returned.
4. Dangerous commands (rm -rf /, shutdown, etc.) are blocked by a deny-list policy.
5. Exit code is included in the observation.",P0 - Must Have,Phase 2,REQ-016,Not Started,,
REQ-026,Tools - Core,Web search and content retrieval,Agent can search the web via self-hosted SearXNG and fetch/parse content from URLs for information gathering.,"1. Tool: web_search with query, num_results params — calls SearXNG JSON API.
2. Tool: fetch_url with url param, returns cleaned text content.
3. web_search returns: title, snippet, URL for each result.
4. fetch_url strips HTML and returns readable text (max 10k chars).
5. Both tools respect a configurable URL allow/deny list.
6. SearXNG is configured to aggregate results from Google, Bing, DuckDuckGo.",P1 - Should Have,Phase 2,REQ-016; REQ-049,Not Started,,
REQ-027,Tools - Extended,Code execution sandbox,"Agent can write and execute Python/JavaScript code in an isolated sandbox, capturing output and errors.","1. Tool: execute_code with language, code, timeout params.
2. Code runs in a disposable container (not the agent's main process).
3. Stdout, stderr, and return value are captured.
4. Execution has CPU and memory limits.
5. Installed packages are configurable per workspace.",P1 - Should Have,Phase 3,REQ-016; REQ-025,Not Started,,
REQ-028,Tools - Extended,Document generation (PDF/DOCX/LaTeX),"Agent can generate formatted documents in PDF, DOCX, and LaTeX-compiled PDF formats.","1. Tools: generate_pdf, generate_docx, compile_latex.
2. generate_pdf accepts markdown or HTML input and produces a styled PDF.
3. generate_docx produces a .docx from structured content.
4. compile_latex compiles a .tex file to PDF (requires texlive in sandbox).
5. Generated documents are stored as artifacts (REQ-022).",P2 - Nice to Have,Phase 3,REQ-022; REQ-027,Not Started,,
REQ-029,Tools - Extended,RAG (Retrieval-Augmented Generation),"Agent can ingest documents into a vector store, then query it for relevant passages to augment its answers.","1. Tool: rag_ingest with file_path or text, collection_name params.
2. Tool: rag_query with query, collection_name, top_k params.
3. Documents are chunked, embedded (local model), and stored in pgvector.
4. Queries return top-k passages with relevance scores.
5. RAG tool calls are traced in Langfuse.",P1 - Should Have,Phase 3,REQ-015; REQ-016,Complete,Antigravity Agent,2026-09-20
REQ-030,Tools - Extended,Image interpretation,Agent can analyze and describe images using a multimodal model.,"1. Tool: analyze_image with image_path or base64 content.
2. Uses a multimodal model via LiteLLM (e.g. gemma4-e4b or a cloud vision model).
3. Returns a text description, detected objects, or answers to questions about the image.
4. Image is included in the Langfuse trace as metadata.",P2 - Nice to Have,Phase 3,REQ-001; REQ-016,Not Started,,
REQ-031,Tools - Extended,Email integration (Gmail connector),"Agent can read, search, and draft emails via Gmail API, subject to user authorization via Authentik-brokered Google OAuth.","1. Gmail connector uses OAuth2 brokered through Authentik (user links their Google account in Authentik).
2. Tools: search_emails, read_email, draft_email.
3. search_emails returns subject, sender, date, snippet for matching messages.
4. read_email returns full body text.
5. draft_email creates a draft in the user's Gmail (does not auto-send without approval).
6. OAuth tokens are managed by Authentik and retrieved via its API.",P2 - Nice to Have,Phase 3,REQ-014; REQ-035; REQ-036,Not Started,,
REQ-032,Interoperability - MCP,Agent tools exposed as MCP server,"The agent's tool catalog is also served as an MCP server, allowing external MCP-compatible clients (IDEs, other agents) to invoke them.","1. An MCP server (FastMCP or custom) exposes agent tools following the MCP 2026-07 spec.
2. Tools are discoverable via the MCP tools/list endpoint.
3. External clients can call tools via JSON-RPC over stdio or HTTP/SSE.
4. Tool execution follows the same sandboxing and policy rules as internal calls.
5. MCP server is optional and can be enabled/disabled via configuration.",P1 - Should Have,Phase 3,REQ-016,Complete,Antigravity Agent,2026-09-20
REQ-033,API Layer,FastAPI backend,"FastAPI serves as the product API layer, handling authentication, session management, agent orchestration, and streaming.","1. FastAPI app starts at http://localhost:8000 with /docs (Swagger) and /redoc.
2. API versioned under /api/v1/.
3. Endpoints include: auth, users, conversations, messages, agent (run/stream/cancel), artifacts, tools, health.
4. All endpoints return consistent JSON response envelopes.
5. Error responses follow RFC 7807 problem details format.",P0 - Must Have,Phase 2,REQ-014,Not Started,,
REQ-034,Interoperability - A2A,Agent exposed via A2A protocol,The agent advertises its capabilities via an A2A Agent Card and can receive tasks from external agents via A2A JSON-RPC over HTTP.,"1. Agent Card (JSON) is served at /.well-known/agent.json with name, description, capabilities, and supported content types.
2. The A2A endpoint accepts tasks/send and tasks/get requests (JSON-RPC 2.0).
3. Task lifecycle follows A2A spec: submitted → working → completed/failed.
4. Streaming updates are available via SSE on the task endpoint.
5. A2A server can be enabled/disabled via configuration.",P1 - Should Have,Phase 3,REQ-033,Not Started,,
REQ-035,Authentication,User registration and login via Authentik,"Users register and log in through Authentik (self-hosted OIDC/OAuth2 identity provider). Authentik handles email/password, password reset, and optional social logins (Google, GitHub). FastAPI validates Authentik-issued JWTs.","1. Authentik runs in Docker Compose.
2. Provides login UI.
3. FastAPI validates JWTs using PyJWT (not python-jose).
4. Syncs user record in Postgres.
5. Tokens expire correctly.",P0 - Must Have,Phase 1,REQ-014,Not Started,,
REQ-036,Authentication,SSO via Authentik (Google/GitHub social login),"Authentik is configured as an OIDC broker for social identity providers (Google, GitHub, etc.). Users can sign up and log in via social accounts without the application managing OAuth flows directly.","1. Authentik is configured with Google and/or GitHub as federated social login sources.
2. Users see 'Sign in with Google' and 'Sign in with GitHub' buttons on the Authentik login page.
3. On first social login, Authentik creates a user and FastAPI syncs it locally.
4. Social-linked accounts are mergeable with email/password accounts sharing the same email.
5. No Google Cloud OAuth credentials are needed in the application itself — Authentik holds them.",P1 - Should Have,Phase 2,REQ-035,Not Started,,
REQ-037,Authentication,Per-user tracking in Langfuse,"Every agent call is tagged with the authenticated user's ID in Langfuse, enabling per-user usage analytics.","1. Langfuse traces include user_id matching the application's user ID.
2. Langfuse dashboard can filter traces by user.
3. LiteLLM virtual keys (if used) include user metadata for attribution.
4. Cost and token usage can be aggregated per user in Langfuse.",P0 - Must Have,Phase 2,REQ-004; REQ-005; REQ-035,Not Started,,
REQ-038,Frontend,Chainlit prototype UI,"A Chainlit-based chat UI is mounted within or alongside the FastAPI app, supporting streaming, tool-call visibility, and artifact display. Auth is delegated to Authentik.","1. Chainlit UI is accessible at http://localhost:8000/chat (or similar mount path).
2. User messages are sent to the agent and responses are streamed back in real-time.
3. Tool calls are displayed as expandable steps within the conversation.
4. Artifacts are displayed inline or as downloadable links.
5. Authentication is delegated to Authentik; Chainlit receives authenticated user context from FastAPI via header auth.",P0 - Must Have,Phase 2,REQ-033; REQ-035,Not Started,,
REQ-039,Frontend,Production UI (customized Open WebUI or React),"For production, either customize Open WebUI (FastAPI-native, Ollama-integrated, built-in Pipes/Actions extensibility) or build a custom React UI if deeper control is needed. Both options consume the same FastAPI API.","1. Open WebUI is deployed alongside FastAPI and configured to proxy agent requests through our API.
2. Open WebUI's Pipes/Actions system is used to wire in our agent tools and streaming.
3. Chat interface supports streaming with typed event rendering.
4. Workspace panel shows file tree and allows file inspection.
5. Artifact panel displays previews (code, markdown, PDF, images) with download.
6. Settings panel allows model selection from available aliases.
7. Auth delegates to Authentik via OIDC.",P1 - Should Have,Phase 3,REQ-033; REQ-035,Complete,Antigravity Agent,2026-09-20
REQ-040,Infrastructure - DevOps,Docker Compose for local development,"A single docker-compose.yml brings up the entire development stack: FastAPI, Postgres, LiteLLM Proxy, Langfuse, Authentik, SearXNG, Redis, and Celery workers.","1. docker-compose up -d starts all services with no manual steps.
2. .env.example documents all required environment variables.
3. Postgres data is persisted via a named volume.
4. Hot-reload is enabled for FastAPI (volume-mounted source code).
5. docker-compose down -v cleanly tears down all containers and volumes.
6. Services include: postgres, langfuse-db, langfuse, litellm, authentik-server, authentik-worker, redis, searxng, celery-worker.",P0 - Must Have,Phase 1,REQ-001; REQ-004; REQ-049,Not Started,,
REQ-041,Infrastructure - DevOps,Kubernetes-ready containerization,"Each service (FastAPI, Postgres, LiteLLM, Langfuse) has a production Dockerfile and can be deployed to Kubernetes with Helm charts or manifests.","1. Dockerfiles use multi-stage builds with minimal final images.
2. Services communicate via Kubernetes service DNS names.
3. Secrets are injected via Kubernetes Secrets or external secret managers.
4. Horizontal pod autoscaling is configured for FastAPI workers.
5. Readiness and liveness probes are defined for each service.",P2 - Nice to Have,Phase 3,REQ-040,Not Started,,
REQ-042,Agent Core,SLM model selection (qwen3.5:4b default),"The default local SLM is qwen3.5:4b running on Ollama, selected for its best-in-class tool calling and reasoning in the ~4B parameter class.","1. qwen3.5:4b is pulled and available via Ollama.
2. LiteLLM alias ""default-agent"" routes to ollama/qwen3.5:4b.
3. Agent system prompt is optimized for qwen3.5's tool-calling template.
4. Model can be swapped by changing only the LiteLLM config (no code change).
5. A MODELS.md doc lists tested models, their aliases, and known quirks.",P0 - Must Have,Phase 1,REQ-001,Not Started,,
REQ-043,Tools - Extended,Sub-agent delegation,"The agent can spawn sub-agents for specialized tasks (e.g. research, code review, document drafting) that run independently and report back.","1. A delegation tool allows the agent to spawn a sub-agent with a specific task, tools subset, and model alias.
2. Sub-agents run as separate conversations inheriting workspace context.
3. Sub-agent results are returned to the parent agent as observations.
4. Sub-agent traces are nested under the parent trace in Langfuse.
5. Max concurrent sub-agents is configurable (default: 3).",P1 - Should Have,Phase 3,REQ-016; REQ-017; REQ-019,Not Started,,
REQ-044,Tools - Extended,Extraction agent tools,"Agent can extract structured data from unstructured text, PDFs, and images into JSON or tabular format.","1. Tool: extract_structured with input (text/file path), schema (JSON schema), params.
2. Extraction uses the LLM with structured output mode.
3. Returns validated JSON conforming to the provided schema.
4. Supports extracting from: plain text, markdown, PDF text, and OCR'd images.
5. Extraction failures return partial results with error indicators.",P2 - Nice to Have,Phase 3,REQ-016; REQ-030,Not Started,,
REQ-045,Tools - Extended,Study/research agent tools,"Agent can perform multi-step research: search the web, read papers/docs, synthesize findings into a structured report.","1. Compound tool/sub-agent: research_topic with query, depth, output_format params.
2. Performs iterative web search → content retrieval → synthesis.
3. Produces a structured markdown report with citations.
4. Research depth is configurable (shallow: 3 sources, deep: 10+ sources).
5. Final report is stored as an artifact.",P2 - Nice to Have,Phase 3,REQ-026; REQ-043,Not Started,,
REQ-046,Infrastructure - Concurrency,Celery task queue for agent runs,"Agent runs are dispatched as Celery tasks via Redis broker, enabling concurrent multi-user agent execution and horizontal scaling.","1. Celery worker process runs alongside FastAPI.
2. Redis serves as the Celery broker and result backend.
3. Agent runs are submitted as Celery tasks from FastAPI endpoints.
4. Multiple agent runs can execute concurrently (configurable worker concurrency).
5. Task status is queryable via API (pending, running, completed, failed).
6. SSE/WebSocket stream reads events from the Celery task in real-time.
7. Worker count is independently scalable (docker-compose scale or K8s HPA).",P0 - Must Have,Phase 2,REQ-016; REQ-033,Complete,Antigravity Agent,2026-09-20
REQ-047,Evaluation,Tiered evaluation (fast smoke + full benchmark),"The evaluation suite supports two tiers: a fast smoke test (20 items, <2 min) for CI on every change, and a full benchmark (200 items) for pre-deployment or manual testing.","1. scripts/run_evaluation.py accepts --tier fast|full.
2. Fast tier uses a 20-item subset tagged 'smoke' in the Langfuse dataset.
3. Full tier uses the complete 200-item dataset.
4. CI pipeline runs the fast tier on every push/PR.
5. Full tier can be triggered manually via CLI or CI workflow dispatch.
6. Both tiers produce experiment results in Langfuse with tier metadata.
7. Fast tier completes in under 2 minutes with default concurrency.",P0 - Must Have,Phase 1,REQ-007; REQ-008,Not Started,,
REQ-048,Authentication,User account management,"Authentik provides self-service user account management: password reset, profile editing, email verification, and session management.","1. Users can reset their password via Authentik's 'forgot password' flow (email link).
2. Users can update their profile (name, avatar) via Authentik's user settings page.
3. Users can view and revoke active sessions.
4. Email verification is required on registration (configurable).
5. FastAPI syncs profile changes from Authentik on token refresh.",P0 - Must Have,Phase 2,REQ-035,Not Started,,
REQ-049,Infrastructure,SearXNG self-hosted meta-search,"A self-hosted SearXNG instance provides the agent with web search capabilities, aggregating results from Google, Bing, DuckDuckGo without requiring API keys.","1. SearXNG runs as a Docker Compose service.
2. JSON API is accessible at http://searxng:8080/search?format=json.
3. Search engines configured: Google, Bing, DuckDuckGo (via settings.yml).
4. Rate limiting is configured to avoid upstream blocks.
5. No external API keys required.",P1 - Should Have,Phase 1,None,Not Started,,
REQ-050,Agent Core,Human-in-the-loop tool approval,Certain irreversible or dangerous actions require explicit user approval before execution.,"1. Policy classifies actions requiring approval.
2. Approval event emitted to stream.
3. Timeout defaults to deny after 5 mins.
4. Persists across worker restart.
5. Audit logged.",P0 - Must Have,Phase 2,REQ-017,Not Started,,
REQ-051,Security,Policy Engine (Guardrails),A synchronous policy engine sits below the AgentRuntime to enforce deterministic guardrails.,"1. Policy engine runs synchronously.
2. Enforces run budgets and thrash breaking.
3. Validates tool arguments.
4. Fails closed on violation.",P0 - Must Have,Phase 2,REQ-017,Complete,Antigravity Agent,2026-09-20
REQ-052,Security,Secret Scrubbing & PII Redaction,All traces and logs are scrubbed of secrets and PII before being sent to observability platforms.,"1. Policy engine scrubs configured secrets.
2. Redacts PII before sending to Langfuse.
3. Fails closed if scrubber fails.",P0 - Must Have,Phase 2,REQ-051,Not Started,,
REQ-053,Security,Workspace Containment & Shell Policy,File operations are strictly confined to the workspace via realpath checks. Shell commands are restricted.,"1. File operations use realpath to prevent path traversal.
2. Shell commands checked against allowlist.
3. Read-only rootfs in container.
4. Dropped Linux capabilities.",P0 - Must Have,Phase 2,REQ-023; REQ-024; REQ-025,Complete,Antigravity Agent,2026-09-20
REQ-054,Security,Egress & SSRF Protection,Outbound network access is restricted and SSRF protections applied to fetch_url.,"1. fetch_url blocks local/private IP ranges.
2. Egress policy blocks non-approved outbound connections from the sandbox.",P1 - Should Have,Phase 2,REQ-026,Complete,Antigravity Agent,2026-09-20
REQ-055,Security,Threat Model & Dependency Scanning,"A formal threat model exists, and CI pipelines include dependency scanning (pip-audit).","1. Threat model documented in docs.
2. CI runs pip-audit on PRs.
3. Container image scanning enabled.",P0 - Must Have,Phase 1,None,Not Started,,
REQ-056,Security,No long-lived secrets in repository,No static long-lived credentials (like GitHub PAT) stored in `.env`.,"1. Migration to short-lived tokens or GitHub Actions OIDC.
2. .env files stored outside agent-readable paths.",P0 - Must Have,Phase 1,None,Not Started,,
REQ-057,Agent Core,Token Accounting & Per-Observation Ceilings,Token usage is categorized and bounded per observation before entering context.,"1. Accounting tracks prompt, completion, and tool tokens.
2. Observations truncated to ceilings before context entry.
3. Content extracted efficiently.",P0 - Must Have,Phase 1,REQ-001,Not Started,,
REQ-058,Agent Core,Prefix Stability in Prompts,Prompts are structured with deterministic ordering to maximize prefix caching hits.,"1. Static context first, volatile state last.
2. State managed via tools rather than prompt injection.
3. Schema-first structured output.",P0 - Must Have,Phase 1,REQ-001,Not Started,,
REQ-059,Agent Core,Model Cascade,Four defined model aliases route to specialized deployments based on task complexity.,"1. default-agent (qwen3.5:4b).
2. utility-small (fast classification).
3. summarizer.
4. reviewer (high capacity, temp=0).",P0 - Must Have,Phase 1,REQ-002,Not Started,,
REQ-060,NFR,Latency Budget,Agent time-to-first-token and time-to-completion are within acceptable limits.,"1. Latency metrics recorded in Langfuse.
2. Regression tests in CI gate on p95 latency.",P0 - Must Have,Phase 1,None,Not Started,,
REQ-061,NFR,Concurrency Target,The system supports a defined number of concurrent user sessions.,"1. Configurable worker concurrency in Celery.
2. Load tested to support target concurrent sessions.",P1 - Should Have,Phase 2,REQ-046,Not Started,,
REQ-062,NFR,Data Retention & Backup,Policies defined for Postgres backups and trace retention.,"1. Daily Postgres backups configured.
2. Langfuse trace retention policy defined (e.g. 30 days).",P0 - Must Have,Phase 1,REQ-014,Not Started,,
REQ-063,Evaluation,Trajectory Evaluator,"Evaluates agent trace for plan adherence, tool validity, and recovery steps.","1. Scripts compute plan adherence ratio.
2. Tool call schema validity >= 95% on Track B.
3. Track B task success rate computed.",P0 - Must Have,Phase 1,REQ-008,Not Started,,
